Headlines,Fecha
134. Torres descarta una segunda opa si el precio equitativo supera el actual,2025-10-10
135. David Martínez acude a la opa de BBVA con toda su cartera,2025-10-10
"136. La prima de la opa de BBVA sobre Sabadell es del 2,02%",2025-10-10
137. El abismo de los cálculos de BBVA y Sabadell,2025-10-10
138. BBVA amplía horarios en oficinas y 'call centers' el último día de la opa,2025-10-10
139. El Ibex pierde los 15.600 puntos con el lastre de Puig y los pesos pesados,2025-10-09
"140. La CNMV amenaza con sancionar a BBVA y Sabadell por ""especular"" con la opa",2025-10-09
141. BBVA supera el 20% de aceptación en la opa sobre Sabadell,2025-10-09
142. Guerra de cifras BBVA-Sabadell: ¿debería España adoptar el modelo italiano de opas?,2025-10-09
"143. La Primera de Expansión sobre BBVA, Sabadell, paz en Gaza, Ryanair, China y Davos",2025-10-09
"144. La prima de la opa repunta al 2,23%",2025-10-09
"145. BlackRock suma y sigue y escala hasta el 7,36% de Sabadell",2025-10-09
146. Goldman Sachs reorganiza su estructura en España,2025-10-09
147. La CNMV anunciará el resultado de la opa de BBVA sobre Sabadell el 17 de octubre,2025-10-08
148. El Gobierno vasco da su respaldo a BBVA en la recta final de la opa,2025-10-08
149. Los fondos cazaopas deciden hoy si van a la oferta de BBVA sobre Sabadell,2025-10-08
"150. La Primera de Expansión sobre BBVA, Javier Botín, Tesla, los salarios del IBEX y récord del oro",2025-10-08
151. Así se fijará el precio de una posible segunda opa de BBVA sobre Sabadell,2025-10-08
152. Cerberus sondea vender viviendas en España por hasta 900 millones,2025-10-08
153. Fitch eleva el ráting de BBVA y mejora la perspectiva de CaixaBank,2025-10-07
154. El CEO de BBVA se enfrenta a Sabadell en la recta final de la opa,2025-10-07
"155. Onur Genç (BBVA): ""Los institucionales nos han dicho que van a ir a la opa""",2025-10-07
156. Zurich rechaza acudir a la opa de BBVA sobre Sabadell,2025-10-07
157. BBVA y Sabadell emulan a MásMóvil en su lucha por el precio equitativo,2025-10-07
"158. Sabadell solicita a la CNMV medidas para evitar que se ""manipule"" el mercado en la opa",2025-10-07
159. Cinven encarga a Morgan Stanley preparar su salida de Burger King,2025-10-07
"160. Opa BBVA-Sabadell: la prima se reduce al 1,08% en la recta final",2025-10-07
161. Goldman Sachs logra un crédito récord para desarrollar biogás,2025-10-07
162. El Ibex choca con los 15.600 puntos ante la crisis política francesa,2025-10-06
163. Ibercaja augura oportunidades en Empresas y Banca Privada por la opa,2025-10-06
164. Kutxabank ve sostenible la mejora del dividendo y el refuerzo del capital,2025-10-06
165. Álvarez ve recorrido en el negocio y la acción de Santander pese a la subida en Bolsa,2025-10-06
"166. Ortiz (Bankinter) prevé ganar clientes tras la opa BBVA-Sabadell: ""Habrá una oportunidad en la integración""",2025-10-06
"167. Escotet (Abanca): ""Es un momento atractivo para salir a Bolsa, pero no vemos motivo para hacerlo""",2025-10-06
"168. González-Bueno (Sabadell): ""Rozar el poste del 30% en esta opa será extraordinariamente difícil""",2025-10-06
"169. Juanjo Cano (KPMG): ""El sector financiero es un ejemplo de mejora continua y motor de crecimiento""",2025-10-06
"170. David Martínez: ""Mi apoyo a la opa de BBVA ha sido recibido con insinuaciones para sesgar la decisión de los accionistas""",2025-10-06
"171. La Primera de Expansión sobre ERE en Telefónica, Ignacio Juliá, Sabadell, Clevergy, el Nikkei y el rally del oro",2025-10-06
"172. ""Santander España debe evolucionar a un banco de cliente para ser el mejor""",2025-10-06
"173. La City cree que BBVA superará el 30% de Sabadell, pero no llegaría al 50%",2025-10-06
174. Zurich valora en más de 500 millones su posición en la alianza con Sabadell,2025-10-06
175. BBVA augura que puede lograr hasta el 70% de Sabadell y este lo rebaja a apenas un 25%,2025-10-05
176. Siete valores para ganar en Bolsa en la recta final del año,2025-10-04
177. Qué dividendos cobrarán los accionistas de BBVA y Sabadell,2025-10-04
"178. Cómo se liquidará
el canje de acciones de BBVA-Sabadell",2025-10-04
179. Santander suma admiradores en Bolsa,2025-10-04
180. Cuerpo recuerda que la CNMV debe velar por las condiciones legales en torno a la opa,2025-10-03
